2012416143	法律基础与思想道德修养	83
2012416143	大学生职业生涯规划	87
2012416144	体育1	82
2012416144	大学英语1	73
2012416144	普通化学	80
2012416144	工程图学	94
2012416144	高等数学	66
2012416144	包装概论	70
2012416144	计算机文化基础	
2012416144	法律基础与思想道德修养	80
2012416144	大学生职业生涯规划	85
2012416145	体育1	86
2012416145	大学英语1	78
2012416145	普通化学	86
2012416145	工程图学	86
2012416145	高等数学	74
2012416145	包装概论	70
2012416145	计算机文化基础	
2012416145	法律基础与思想道德修养	79
2012416145	大学生职业生涯规划	83
2012416146	体育1	83
2012416146	大学英语1	74
2012416146	普通化学	86
2012416146	工程图学	81
2012416146	高等数学	69
2012416146	包装概论	69
2012416146	计算机文化基础	
2012416146	法律基础与思想道德修养	80
2012416146	大学生职业生涯规划	76
2012416147	体育1	85
2012416147	大学英语1	72
2012416147	普通化学	86
2012416147	工程图学	90
2012416147	高等数学	71
2012416147	包装概论	56
2012416147	计算机文化基础	
2012416147	法律基础与思想道德修养	80
2012416147	大学生职业生涯规划	86
2012416148	体育1	89
2012416148	大学英语1	81
2012416148	普通化学	77
2012416148	工程图学	77
2012416148	高等数学	76
2012416148	包装概论	78
2012416148	计算机文化基础	
2012416148	法律基础与思想道德修养	69
2012416148	大学生职业生涯规划	86
2012416149	体育1	82
2012416149	大学英语1	62
2012416149	普通化学	82
2012416149	工程图学	75
2012416149	高等数学	75
2012416149	包装概论	60
2012416149	计算机文化基础	
2012416149	法律基础与思想道德修养	77
2012416149	大学生职业生涯规划	72
2012416150	体育1	88
2012416150	大学英语1	69
2012416150	普通化学	83
2012416150	工程图学	81
2012416150	高等数学	73
2012416150	包装概论	50
2012416150	计算机文化基础	
2012416150	法律基础与思想道德修养	81
2012416150	大学生职业生涯规划	86
2012416151	体育1	77
2012416151	大学英语1	80
2012416151	普通化学	80
2012416151	工程图学	98
2012416151	高等数学	60
2012416151	包装概论	70
2012416151	计算机文化基础	
2012416151	法律基础与思想道德修养	81
2012416151	大学生职业生涯规划	89
2012416152	体育1	92
2012416152	大学英语1	76
2012416152	普通化学	85
2012416152	工程图学	90
2012416152	高等数学	73
2012416152	包装概论	50
2012416152	计算机文化基础	
2012416152	法律基础与思想道德修养	84
2012416152	大学生职业生涯规划	79
2012416154	体育1	84
2012416154	大学英语1	80
2012416154	普通化学	85
2012416154	工程图学	92
2012416154	高等数学	68
2012416154	包装概论	61
2012416154	计算机文化基础	
2012416154	法律基础与思想道德修养	82
2012416154	大学生职业生涯规划	90
2012416155	体育1	98
2012416155	大学英语1	72
2012416155	普通化学	83
2012416155	工程图学	74
2012416155	高等数学	69
2012416155	包装概论	52
2012416155	计算机文化基础	
2012416155	法律基础与思想道德修养	76
2012416155	大学生职业生涯规划	82
2012416156	体育1	77
2012416156	大学英语1	78
2012416156	普通化学	87
2012416156	工程图学	96
2012416156	高等数学	69
2012416156	包装概论	77
2012416156	计算机文化基础	
2012416156	法律基础与思想道德修养	78
2012416156	大学生职业生涯规划	80
2012416157	体育1	86
2012416157	大学英语1	72
2012416157	普通化学	80
2012416157	工程图学	88
2012416157	高等数学	78
2012416157	包装概论	75
2012416157	计算机文化基础	
2012416157	法律基础与思想道德修养	77
2012416157	大学生职业生涯规划	90
2012416158	体育1	89
2012416158	大学英语1	59
2012416158	普通化学	77
2012416158	工程图学	75
2012416158	高等数学	67
2012416158	包装概论	65
2012416158	计算机文化基础	
2012416158	法律基础与思想道德修养	76
2012416158	大学生职业生涯规划	85
2012416159	体育1	80
2012416159	大学英语1	72
2012416159	普通化学	83
2012416159	工程图学	82
2012416159	高等数学	62
2012416159	包装概论	72
2012416159	计算机文化基础	
2012416159	法律基础与思想道德修养	74
2012416159	大学生职业生涯规划	80
2012416160	体育1	86
2012416160	大学英语1	74
2012416160	普通化学	71
2012416160	工程图学	83
2012416160	高等数学	64
2012416160	包装概论	72
2012416160	计算机文化基础	
2012416160	法律基础与思想道德修养	87
2012416160	大学生职业生涯规划	84
2012416161	体育1	81
2012416161	大学英语1	77
2012416161	普通化学	85
2012416161	工程图学	93
2012416161	高等数学	60
2012416161	包装概论	60
2012416161	计算机文化基础	
2012416161	法律基础与思想道德修养	79
2012416161	大学生职业生涯规划	89
2012416162	体育1	60
2012416162	大学英语1	81
2012416162	普通化学	76
2012416162	工程图学	66
2012416162	高等数学	56
2012416162	包装概论	60
2012416162	计算机文化基础	
2012416162	法律基础与思想道德修养	81
2012416162	大学生职业生涯规划	86
2012416164	体育1	80
2012416164	大学英语2	82
2012416164	普通化学	81
2012416164	工程图学	97
2012416164	高等数学	62
2012416164	包装概论	70
2012416164	计算机文化基础	
2012416164	法律基础与思想道德修养	85
2012416164	大学生职业生涯规划	88
2012416165	体育1	90
2012416165	大学英语1	66
2012416165	普通化学	85
2012416165	工程图学	82
2012416165	高等数学	78
2012416165	包装概论	67
2012416165	计算机文化基础	
2012416165	法律基础与思想道德修养	76
2012416165	大学生职业生涯规划	88
2012416166	体育1	82
2012416166	大学英语1	68
2012416166	普通化学	68
2012416166	工程图学	77
2012416166	高等数学	60
2012416166	包装概论	44
2012416166	计算机文化基础	
2012416166	法律基础与思想道德修养	79
2012416166	大学生职业生涯规划	85
2012416167	体育1	89
2012416167	大学英语1	79
2012416167	普通化学	80
2012416167	工程图学	79
2012416167	高等数学	79
2012416167	包装概论	34
2012416167	计算机文化基础	
2012416167	法律基础与思想道德修养	78
2012416167	大学生职业生涯规划	64
2012416169	体育1	93
2012416169	大学英语1	81
2012416169	普通化学	75
2012416169	工程图学	63
2012416169	高等数学	67
2012416169	包装概论	61
2012416169	计算机文化基础	
2012416169	法律基础与思想道德修养	84
2012416169	大学生职业生涯规划	86
2012416170	体育1	80
2012416170	大学英语1	81
2012416170	普通化学	80
2012416170	工程图学	98
2012416170	高等数学	78
2012416170	包装概论	63
2012416170	计算机文化基础	
2012416170	法律基础与思想道德修养	86
2012416170	大学生职业生涯规划	83
2012416171	体育1	87
2012416171	大学英语1	63
2012416171	普通化学	77
2012416171	工程图学	73
2012416171	高等数学	60
2012416171	包装概论	55
2012416171	计算机文化基础	
2012416171	法律基础与思想道德修养	85
2012416171	大学生职业生涯规划	82
2012416172	体育1	78
2012416172	大学英语1	73
2012416172	普通化学	81
2012416172	工程图学	98
2012416172	高等数学	81
2012416172	包装概论	78
2012416172	计算机文化基础	
2012416172	法律基础与思想道德修养	77
2012416172	大学生职业生涯规划	77
2012416173	体育1	85
2012416173	大学英语1	78
2012416173	普通化学	92
2012416173	工程图学	89
2012416173	高等数学	93
2012416173	包装概论	94
2012416173	计算机文化基础	
2012416173	法律基础与思想道德修养	93
2012416173	大学生职业生涯规划	85
2012416174	体育1	71
2012416174	大学英语1	70
2012416174	普通化学	78
2012416174	工程图学	63
2012416174	高等数学	69
2012416174	包装概论	52
2012416174	计算机文化基础	
2012416174	法律基础与思想道德修养	86
2012416174	大学生职业生涯规划	81
2012416175	体育1	90
2012416175	大学英语2	83
2012416175	普通化学	81
2012416175	工程图学	98
2012416175	高等数学	71
2012416175	包装概论	79
2012416175	计算机文化基础	
2012416175	法律基础与思想道德修养	80	
2012416175	大学生职业生涯规划	75
2012416176	体育1	72
2012416176	大学英语1	86
2012416176	普通化学	84
2012416176	工程图学	81
2012416176	高等数学	71
2012416176	包装概论	81
2012416176	计算机文化基础	
2012416176	法律基础与思想道德修养	79
2012416176	大学生职业生涯规划	86
2012416177	体育1	62
2012416177	大学英语1	79
2012416177	普通化学	92
2012416177	工程图学	92
2012416177	高等数学	71
2012416177	包装概论	70
2012416177	计算机文化基础	
2012416177	法律基础与思想道德修养	83
2012416177	大学生职业生涯规划	86
2012416178	体育1	
2012416178	大学英语1	84
2012416178	普通化学	85
2012416178	工程图学	81
2012416178	高等数学	68
2012416178	包装概论	76
2012416178	计算机文化基础	
2012416178	法律基础与思想道德修养	76
2012416178	大学生职业生涯规划	79
2012416179	体育1	78
2012416179	大学英语1	81
2012416179	普通化学	53
2012416179	工程图学	69
2012416179	高等数学	56
2012416179	包装概论	42
2012416179	计算机文化基础	
2012416179	法律基础与思想道德修养	72
2012416179	大学生职业生涯规划	88
2012416180	体育1	93
2012416180	大学英语1	65
2012416180	普通化学	75
2012416180	工程图学	43
2012416180	高等数学	50
2012416180	包装概论	63
2012416180	计算机文化基础	
2012416180	法律基础与思想道德修养	75
2012416180	大学生职业生涯规划	76
2012416181	体育1	84
2012416181	大学英语1	80
2012416181	普通化学	66
2012416181	工程图学	81
2012416181	高等数学	73
2012416181	包装概论	48
2012416181	计算机文化基础	
2012416181	法律基础与思想道德修养	72
2012416181	大学生职业生涯规划	81
2012416182	体育1	72
2012416182	大学英语1	85
2012416182	普通化学	94
2012416182	工程图学	89
2012416182	高等数学	90
2012416182	包装概论	66
2012416182	计算机文化基础	
2012416182	法律基础与思想道德修养	78
2012416182	大学生职业生涯规划	83
2012416183	体育1	80
2012416183	大学英语2	76
2012416183	普通化学	78
2012416183	工程图学	69
2012416183	高等数学	79
2012416183	包装概论	78
2012416183	计算机文化基础	
2012416183	法律基础与思想道德修养	83
2012416183	大学生职业生涯规划	85
2012416184	体育1	79
2012416184	大学英语2	74
2012416184	普通化学	76
2012416184	工程图学	74
2012416184	高等数学	65
2012416184	包装概论	60
2012416184	计算机文化基础	
2012416184	法律基础与思想道德修养	82	
2012416184	大学生职业生涯规划	70
2012416185	体育1	75
2012416185	大学英语2	82
2012416185	普通化学	81
2012416185	工程图学	95
2012416185	高等数学	80
2012416185	包装概论	78
2012416185	计算机文化基础	
2012416185	法律基础与思想道德修养	81
2012416185	大学生职业生涯规划	84
2012416187	体育1	80
2012416187	大学英语2	81
2012416187	普通化学	83
2012416187	工程图学	84
2012416187	高等数学	83
2012416187	包装概论	82
2012416187	计算机文化基础	
2012416187	法律基础与思想道德修养	80	
2012416187	大学生职业生涯规划	82
2012416188	体育1	86
2012416188	大学英语1	83
2012416188	普通化学	55
2012416188	工程图学	75
2012416188	高等数学	65
2012416188	包装概论	49
2012416188	计算机文化基础	
2012416188	法律基础与思想道德修养	78
2012416188	大学生职业生涯规划	78
2012416189	体育1	96
2012416189	大学英语1	74
2012416189	普通化学	89
2012416189	工程图学	74
2012416189	高等数学	78
2012416189	包装概论	57
2012416189	计算机文化基础	
2012416189	法律基础与思想道德修养	76
2012416189	大学生职业生涯规划	80
2012416190	体育1	75
2012416190	大学英语1	84
2012416190	普通化学	77
2012416190	工程图学	89
2012416190	高等数学	56
2012416190	包装概论	65
2012416190	计算机文化基础	
2012416190	法律基础与思想道德修养	84
2012416190	大学生职业生涯规划	78
2012416191	体育1	70
2012416191	大学英语1	74
2012416191	普通化学	83
2012416191	工程图学	78
2012416191	高等数学	52
2012416191	包装概论	86
2012416191	计算机文化基础	
2012416191	法律基础与思想道德修养	78
2012416191	大学生职业生涯规划	82
2012416192	体育1	80
2012416192	大学英语1	68
2012416192	普通化学	61
2012416192	工程图学	74
2012416192	高等数学	65
2012416192	包装概论	62
2012416192	计算机文化基础	
2012416192	法律基础与思想道德修养	72
2012416192	大学生职业生涯规划	75
